row ID,Sch_Depart,Perf_Depart,Enp_Pass,Freight,Mail,class
Row0,285693.0,288803.0,22665665,165668.76,93039.48,x
Row1,73300.0,74048.0,4420425,18041.52,19722.93,x
Row2,114153.0,115524.0,9549585,127815.09,29785.72,x
Row3,120210.0,121798.0,7076954,36242.84,15399.46,x
Row4,64465.0,66389.0,3547040,4494.78,4485.58,x
Row5,322430.0,332338.0,25636383,300463.8,140359.38,x
Row6,266737.0,269665.0,22899267,142660.95,86706.76,x
Row7,39481.0,40196.0,2882836,2216.7,242.87,x
Row8,154067.0,156293.0,11961839,67345.75,38043.73,x
Row9,6828.0,7162.0,362655,258.08,0.0,x
Row10,134929.0,137565.0,9903078,42831.24,32429.74,x
Row11,4241.0,4024.0,35,33858.26,1249.0,x
Row12,92659.0,96780.0,9002217,139496.57,19951.37,x
Row13,104249.0,105330.0,7543899,62425.36,21073.85,x
Row14,61387.0,62582.0,3972327,3787.82,790.44,x
Row15,1188.0,1253.0,18967,199.45,1.46,x
Row16,92196.0,92072.0,7796218,11288.52,13132.33,x
Row17,30444.0,30968.0,1698739,6414.64,1673.24,x
Row18,14443.0,14712.0,692995,7837.98,929.96,x
Row19,213302.0,215740.0,18438056,352823.5,71588.84,x
Row20,37275.0,38137.0,2203700,1163.62,173.94,x
Row21,106858.0,105658.0,9226103,187247.24,33739.59,x
Row22,46584.0,46508.0,3875357,38330.43,7842.12,x
Row23,114872.0,116312.0,8837228,68045.03,42973.8,x
Row24,130286.0,132817.0,9853925,163211.63,34065.82,x
Row25,74659.0,74507.0,9687068,275998.91,70305.53,x
Row26,129670.0,131310.0,10725465,23086.56,35713.98,x
Row27,84924.0,84328.0,7677769,23940.73,12083.04,x
Row28,105830.0,107331.0,6970820,49572.7,42422.69,x
Row29,148342.0,149274.0,10727494,42604.71,23812.85,x
Row30,125276.0,126550.0,7912394,21668.06,24285.06,x
Row31,135089.0,137711.0,9332091,49363.12,37674.06,x
Row32,77368.0,76754.0,5388178,35247.01,18788.6,x
Row33,70156.0,70893.0,5260907,18882.04,8822.78,x
Row34,1286.0,1334.0,49532,7.95,0.0,x
Row35,45986.0,46217.0,2670788,69875.8,3697.09,x
Row36,172007.0,187581.0,13474929,216259.94,55236.27,x
Row37,122226.0,124518.0,7385594,103409.85,34636.56,x
Row38,64396.0,64735.0,4781020,23048.08,17017.79,x
Row39,80651.0,82588.0,4448592,53609.69,25349.58,x
Row40,97043.0,98513.0,7034693,10470.14,27341.35,x
Row41,34138.0,34386.0,2384647,5286.72,6441.62,x
Row42,35891.0,35273.0,1362282,318663.23,62566.64,x
Row43,31494.0,31718.0,2054955,7549.0,3941.16,x
Row44,30554.0,30926.0,1637293,8508.88,3962.18,x
Row45,65533.0,66217.0,3907625,16808.48,14295.54,x
Row46,76988.0,78018.0,3836050,19467.41,10427.55,x
Row47,29986.0,30338.0,1685100,3407.81,11595.43,x
Row48,1735.0,1733.0,0,11311.08,99.03,x
Row49,36966.0,37191.0,1845160,20922.76,6306.52,x
Row50,28333.0,28519.0,1673243,4824.94,1760.09,x
Row51,22210.0,22149.0,1712679,2435.07,1699.9,x
Row52,31850.0,32217.0,2312455,14432.08,14325.94,x
Row53,53471.0,53125.0,2601839,110350.63,9713.05,x
Row54,24585.0,24854.0,1266677,8073.55,5411.32,x
Row55,29624.0,31427.0,2094390,9015.42,1605.24,x
Row56,52781.0,52834.0,3358116,18041.4,17014.09,x
Row57,18704.0,19724.0,1264738,969.51,742.14,x
Row58,94420.0,95198.0,3887208,614223.6,13168.89,x
Row59,39724.0,40661.0,1915390,11747.66,8317.82,x
Row60,57474.0,58060.0,3404243,7453.14,7887.41,x
Row61,49121.0,49606.0,3361062,15439.58,6139.07,x
Row62,26495.0,26824.0,1254846,5371.22,2530.79,x
Row63,25347.0,25550.0,1519518,5316.15,4923.59,x
Row64,40925.0,41200.0,2640734,8488.64,10668.98,x
Row65,69578.0,70763.0,3025345,33735.01,11622.95,x
Row66,66211.0,67304.0,4361369,16302.95,8429.76,x
Row67,21609.0,22010.0,1343619,3361.04,1543.59,x
Row68,25132.0,25585.0,1154747,8092.4,2910.75,x
Row69,39723.0,47086.0,1737096,5991.77,10284.73,x
Row70,39740.0,40020.0,2593896,10049.59,7584.84,x
Row71,49173.0,50096.0,3128393,20971.84,3966.67,x
Row72,29514.0,30065.0,1166598,11243.51,4347.42,x
Row73,20201.0,20413.0,1263509,3709.47,2740.06,x
Row74,24975.0,25217.0,1483037,8241.04,5582.49,x
Row75,29363.0,29625.0,2609138,3089.87,3424.48,x
Row76,5606.0,5806.0,230249,334.41,893.32,x
Row77,15007.0,15295.0,878372,2184.93,2712.69,x
Row78,7744.0,7807.0,349358,2017.81,350.3,x
Row79,6616.0,6668.0,435297,327.14,781.19,x
Row80,8837.0,8921.0,423808,526.69,1625.13,x
Row81,8741.0,8868.0,237699,420.69,1738.63,x
Row82,20112.0,20185.0,1001983,5937.63,5255.4,x
Row83,16802.0,17121.0,525092,3007.15,1941.86,x
Row84,7444.0,7527.0,529042,3656.57,9.01,x
Row85,7507.0,7689.0,306489,1682.98,1143.32,x
Row86,7753.0,7810.0,341142,5937.53,1623.8,x
Row87,14215.0,14380.0,631956,2179.36,866.09,x
Row88,5327.0,5388.0,239746,1046.56,197.31,x
Row89,10903.0,11001.0,551507,638.32,671.96,x
Row90,13531.0,13673.0,512759,6554.2,2009.81,x
Row91,6651.0,6756.0,423498,298.3,639.46,x
Row92,7514.0,7507.0,490336,377.78,89.18,x
Row93,12144.0,12256.0,658619,1705.15,9042.02,x
Row94,8074.0,8252.0,224658,857.1,601.0,x
Row95,6150.0,6167.0,233809,6573.16,6431.49,x
Row96,7851.0,8062.0,242000,1114.74,662.03,x
Row97,20879.0,20993.0,393442,887.12,963.19,x
Row98,13086.0,13366.0,614280,4010.83,1650.33,x
Row99,23519.0,23906.0,894532,9801.19,3841.67,x
Row100,11580.0,11739.0,503271,1314.55,1908.97,x
Row101,10537.0,10746.0,437341,5692.89,1579.88,x
Row102,10868.0,10817.0,651191,4522.27,1139.18,x
Row103,9880.0,10043.0,381668,734.72,457.42,x
Row104,9270.0,9456.0,353294,151.42,54.68,x
Row105,7001.0,7203.0,422400,542.59,1484.22,x
Row106,9001.0,9082.0,391018,543.63,1812.42,x
Row107,14800.0,15527.0,977274,5166.7,887.18,x
Row108,10228.0,10234.0,477768,6192.36,1644.97,x
Row109,7811.0,7913.0,291634,373.87,1331.34,x
Row110,15154.0,15310.0,950540,918.25,3616.92,x
Row111,21813.0,21944.0,937645,8725.02,5618.14,x
Row112,11575.0,11691.0,611413,7282.66,546.74,x
Row113,8926.0,9158.0,425563,4044.83,873.45,x
Row114,6344.0,6455.0,267963,7091.74,632.01,x
Row115,5838.0,5866.0,360126,133.58,34.15,x
Row116,8675.0,8762.0,580905,559.51,300.62,x
Row117,9734.0,9824.0,380798,5438.91,646.6,x
Row118,6286.0,6553.0,220093,394.09,310.27,x
Row119,19952.0,19951.0,994132,5701.22,14391.15,x
Row120,8765.0,8930.0,394222,864.82,1429.55,x
Row121,8712.0,8956.0,472393,2526.91,1552.77,x
Row122,16890.0,17113.0,1060719,2372.95,3402.81,x
Row123,20443.0,20652.0,864381,5403.95,3507.87,x
Row124,7143.0,7347.0,224595,257.83,587.41,x
Row125,3952.0,4036.0,219310,278.94,175.6,x
Row126,9999.0,10263.0,226472,806.88,0.01,x
Row127,15765.0,15990.0,989935,542.07,71.36,x
Row128,11089.0,11270.0,520881,1306.61,768.92,x
Row129,7656.0,7639.0,257229,6198.18,1618.82,x
Row130,6466.0,6514.0,226436,1163.97,1556.28,x
Row131,6630.0,7072.0,224050,1826.0,212.82,x
Row132,25315.0,25837.0,747329,7827.61,2283.69,x
Row133,9193.0,9306.0,381840,1492.52,699.4,x
Row134,13772.0,13901.0,561432,6905.22,2928.32,x
